"File","Namespace","Type","Name","MemberType","MemberName"
"AgentOrchestrator.cs","Imhotep.Orchestration.Services","Class","AgentOrchestrator","Method","ResolveAgentForTask"
"ApprovalGateManager.cs","Imhotep.Governance.Services","Interface","IApprovalGateManager","",""
"ClarificationFormatter.cs","Imhotep.Specification.Feedback","Class","ClarificationFormatter","Method","FormatClarifications"
"CommonModels.cs","Imhotep.Common.Models","Enum","StateCategory","",""
"ConstructionRuntimeWorker.cs","Imhotep.ExecutionService","Interface","that","",""
"ConstructionTask.cs","Imhotep.Planning.Models","Enum","PlanTaskStatus","",""
"ConstructionTask.cs","Imhotep.Planning.Models","Enum","TaskCategory","",""
"DotNetCompilerPlugin.cs","Imhotep.Tools.Plugins","Class","DotNetCompilerPlugin","Method","ExtractCompilerErrors"
"ExecutionCoordinator.cs","Imhotep.ExecutionService.Core","Class","ExecutionCoordinator","Method","GetCurrentStateAsync"
"ExecutionRuntimeScheduler.cs","Imhotep.Runtime.Scheduling","Class","ExecutionRuntimeScheduler","Method","GetExecutableTasks"
"ExecutionRuntimeScheduler.cs","Imhotep.Runtime.Scheduling","Interface","ITaskScheduler","",""
"ExecutionService.cs","Imhotep.Runtime.Services","Class","ExecutionService","Method","TriggerHumanMachineEscalation"
"ExecutionService.cs","Imhotep.Runtime.Services","Interface","IExecutionService","",""
"GitArtifactRepository.cs","Imhotep.Repository.Services","Class","GitArtifactRepository","Method","CommitChangesAsync"
"GitArtifactRepository.cs","Imhotep.Repository.Services","Class","GitArtifactRepository","Method","CreateDeploymentPackageAsync"
"GovernanceService.cs","Imhotep.Governance.Services","Class","GovernanceService","Method","EscalateToHumanGovernance"
"GovernanceService.cs","Imhotep.Governance.Services","Class","GovernanceService","Method","EvaluateComplianceAsync"
"GovernanceService.cs","Imhotep.Governance.Services","Class","GovernanceService","Method","GetApprovalGateStatusAsync"
"GovernanceService.cs","Imhotep.Governance.Services","Class","GovernanceService","Method","RegisterHumanApproval"
"GraphModels.cs","Imhotep.SemanticModel.Graph","Enum","ReadinessLevel","",""
"IAgent.cs","Imhotep.Agents.Abstractions","Interface","IAgent","",""
"IAgentOrchestrator.cs","Imhotep.Agents.Abstractions","Interface","IAgentOrchestrator","",""
"IAgentOrchestrator.cs","Imhotep.Agents.Abstractions","Interface","IReasoningAgent","",""
"IArtifactRepository.cs","Imhotep.Repository.Services","Interface","IArtifactRepository","",""
"ICanonicalEntity.cs","Imhotep.SemanticModel.Entities","Interface","ensuring","",""
"ICanonicalEntity.cs","Imhotep.SemanticModel.Entities","Interface","ICanonicalEntity","",""
"IClarrificationFormatter.cs","Imhotep.Specification.Feedback","Interface","IClarificationFormatter","",""
"IExecutionRuntime.cs","Imhotep.Runtime.Services","Interface","IExecutionRuntime","",""
"IGovernanceService.cs","Imhotep.Governance.Services","Interface","IGovernanceService","",""
"IModelGateway.cs","Imhotep.ModelGateway.Abstractions","Interface","IModelGateway","",""
"INodsAuditableEntity.cs","Imhotep.Macs.Models.Canonical","Interface","INodsAuditableEntity","",""
"IntakeRestService.cs","Imhotep.Macs.Services","Class","IntakeRestService","Method","IntakeResult"
"IntakeRestService.cs","Imhotep.Macs.Services","Interface","IIntakeRestService","",""
"IntakeValidationTests.cs","Imhotep.Macs.Tests.Plugins","Class","IntakeValidationTests","Method","AuthenticateAsync"
"IntakeValidationTests.cs","Imhotep.Macs.Tests.Plugins","Class","IntakeValidationTests","Method","AuthorizeAsync"
"IntakeValidationTests.cs","Imhotep.Macs.Tests.Plugins","Class","IntakeValidationTests","Method","VAL002_EncryptionVerification_CjisCompliance_EnforcedViaStaticAnalysis"
"IntakeValidationTests.cs","Imhotep.Macs.Tests.Plugins","Class","IntakeValidationTests","Method","VAL004_PiiScanning_PartyWithDOB_TriggersMaskingNotification"
"IntakeValidationTests.cs","Imhotep.Macs.Tests.Plugins","Class","TestPolicyEvaluator","Method","AuthenticateAsync"
